ItemID,album,artist,title,mp3url,description,imageurl,category_id
248,\N,B.B.King,The Thrill is Gone,Music/Blues/B.B.King - The Thrill is Gone.mp3,\N,img/music.jpg,1
250,\N,Mamie Smith,Crazy Blues,Music/Blues/Mamie Smith - Crazy Blues.mp3,\N,img/music.jpg,1
251,\N,Robert Johnson,Hellhound On My Trail,Music/Blues/Robert Johnson - Hellhound On My Trail.mp3,\N,img/music.jpg,1
252,\N,T-Bone Walker,Stormy Monday,Music/Blues/T-Bone Walker - Stormy Monday.mp3,\N,img/music.jpg,1
253,\N,Antonio Vivaldi,Four Seasons,Music/Classical/Antonio Vivaldi - Four Seasons.mp3,\N,img/music.jpg,2
254,\N,Bach,Brandenburg Concerto 3,Music/Classical/Bach - Brandenburg Concerto 3.mp3,\N,img/music.jpg,2
255,\N,Beethoven,Symphony 5,Music/Classical/Beethoven - Symphony 5.mp3,\N,img/music.jpg,2
256,\N,Franz Schubert,Trout Quintet,Music/Classical/Franz Schubert - Trout Quintet.mp3,\N,img/music.jpg,2
257,\N,George Gershwin,Rhapsody in Blue,Music/Classical/George Gershwin - Rhapsody in Blue.mp3,\N,img/music.jpg,2
258,\N,Charlie Daniels Band,The Devil Went Down to Georgia,Music/Country/Charlie Daniels Band - The Devil Went Down to Georgia.mp3,\N,img/music.jpg,3
259,\N,Hank Williams,Im So Lonesome I Could Cry,Music/Country/Hank Williams - Im So Lonesome I Could Cry.mp3,\N,img/music.jpg,3
260,\N,Johnny Cash,I Walk the Line,Music/Country/Johnny Cash - I Walk the Line.mp3,\N,img/music.jpg,3
261,\N,Tammy Wynette,Stand By Your Man,Music/Country/Tammy Wynette - Stand By Your Man.mp3,\N,img/music.jpg,3
262,\N,The Statler Brothers,Flowers On The Wall,Music/Country/The Statler Brothers - Flowers On The Wall.mp3,\N,img/music.jpg,3
263,\N,Bee Gees,Stayin Alive,Music/Disco/Bee Gees - Stayin Alive.mp3,\N,img/music.jpg,4
264,\N,Chic,Good Times,Music/Disco/Chic - Good Times.mp3,\N,img/music.jpg,4
265,\N,Gloria Gaynor,I Will Survive,Music/Disco/Gloria Gaynor - I Will Survive.mp3,\N,img/music.jpg,4
266,\N,Lipps Inc,Funkytown,Music/Disco/Lipps Inc - Funkytown.mp3,\N,img/music.jpg,4
267,\N,Village People,YMCA,Music/Disco/Village People - YMCA.mp3,\N,img/music.jpg,4
268,\N,2Pac,Dear Mama,Music/Hip Hop/2Pac - Dear Mama.mp3,\N,img/music.jpg,5
269,\N,Coolio,Gangsta Paradise,Music/Hip Hop/Coolio - Gangsta Paradise.mp3,\N,img/music.jpg,5
270,\N,Notorious B.I.G.,Hypnotize,Music/Hip Hop/Notorious B.I.G. - Hypnotize.mp3,\N,img/music.jpg,5
271,\N,Run DMC,Its Like That,Music/Hip Hop/Run DMC - Its Like That.mp3,\N,img/music.jpg,5
272,\N,Sugarhill Gang,Rappers Delight,Music/Hip Hop/Sugarhill Gang - Rappers Delight.mp3,\N,img/music.jpg,5
273,\N,Art Blakey and The Jazz Messengers,Moanin,Music/Jazz/Art Blakey and The Jazz Messengers - Moanin.mp3,\N,img/music.jpg,6
274,\N,John Coltrane,Giant Steps,Music/Jazz/John Coltrane - Giant Steps.mp3,\N,img/music.jpg,6
275,\N,Louis Armstrong,Potato Head Blues,Music/Jazz/Louis Armstrong - Potato Head Blues.mp3,\N,img/music.jpg,6
276,\N,Miles Davis,So What,Music/Jazz/Miles Davis - So What.mp3,\N,img/music.jpg,6
277,\N,Thelonious Monk,Straight No Chaser,Music/Jazz/Thelonious Monk - Straight No Chaser.mp3,\N,img/music.jpg,6
278,\N,Amon Amarth,Pursuit Of Vikings,Music/Metal/Amon Amarth - Pursuit Of Vikings.mp3,\N,img/music.jpg,7
279,\N,Hypocrisy,Apocalypse,Music/Metal/Hypocrisy - Apocalypse.mp3,\N,img/music.jpg,7
280,\N,Iron Maiden,The Trooper,Music/Metal/Iron Maiden - The Trooper.mp3,\N,img/music.jpg,7
281,\N,Metallica,Master Of Puppets,Music/Metal/Metallica - Master Of Puppets.mp3,\N,img/music.jpg,7
282,\N,Pantera,Cemetery Gates,Music/Metal/Pantera - Cemetery Gates.mp3,\N,img/music.jpg,7
283,\N,ABBA,Dancing Queen,Music/Pop/ABBA - Dancing Queen.mp3,\N,img/music.jpg,8
284,\N,Britney Spears,Toxic,Music/Pop/Britney Spears - Toxic.mp3,\N,img/music.jpg,8
285,\N,Lady GaGa,Paparazzi,Music/Pop/Lady GaGa - Paparazzi.mp3,\N,img/music.jpg,8
286,\N,Madonna,Like A Prayer,Music/Pop/Madonna - Like A Prayer.mp3,\N,img/music.jpg,8
287,\N,Michael Jackson,Billie Jean,Music/Pop/Michael Jackson - Billie Jean.mp3,\N,img/music.jpg,8
288,\N,Bob Marley,I Shot The Sheriff,Music/Reggae/Bob Marley - I Shot The Sheriff.mp3,\N,img/music.jpg,9
289,\N,Bob Marley,No Woman No Cry,Music/Reggae/Bob Marley - No Woman No Cry.mp3,\N,img/music.jpg,9
290,\N,Desmond Dekker,Israelites,Music/Reggae/Desmond Dekker - Israelites.mp3,\N,img/music.jpg,9
291,\N,The Abyssinians,Satta Massagana,Music/Reggae/The Abyssinians - Satta Massagana.mp3,\N,img/music.jpg,9
292,\N,Toots And The Maytals,Pressure Drop,Music/Reggae/Toots And The Maytals - Pressure Drop.mp3,\N,img/music.jpg,9
293,\N,AC-DC,You Shook Me All Night Long,Music/Rock/AC-DC - You Shook Me All Night Long.mp3,\N,img/music.jpg,10
294,\N,Deep Purple,Highway Star,Music/Rock/Deep Purple - Highway Star.mp3,\N,img/music.jpg,10
295,\N,Dire Straits,Sultans of Swing,Music/Rock/Dire Straits - Sultans of Swing.mp3,\N,img/music.jpg,10
296,\N,Jimi Hendrix,Purple Haze,Music/Rock/Jimi Hendrix - Purple Haze.mp3,\N,img/music.jpg,10
297,\N,The Animals,House of the Rising Sun,Music/Rock/The Animals - House of the Rising Sun.mp3,\N,img/music.jpg,10
249,\N,Led Zeppelin,I Can't Quit You Baby,Music/Blues/Led Zeppelin - I Can't Quit You Baby.mp3,\N,img/music.jpg,1
691,\N,Die Atzen Frauenarzt and Manny Marc,Disco Pogo,Music/MusicLoad/Die_Atzen_Frauenarzt__amp__Manny_Marc--Disco_Pogo__Atzen_Musik_hellip_.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/85/c/8/uo2vs_q7wt6eicbpbcocggriglmhojkq/disco-pogo-die-atzen-frauenarzt-manny-marc.jpg,4
707,\N,Nickelback,If Today Was Your Last Day (Album Version),Music/MusicLoad/Nickelback--If_Today_Was_Your_Last_Day__Album_Version__-__hellip_.mp3,\N,http://b-static.musicload-shop.de/cov/m/75/76/cover/08/47/0000000000084744/016861384104_39d43bea9db5a80d4f6eeb84b4903f75/if-today-was-your-last-day-album-version-nickelback.jpg,10
729,\N,Bushido,Alles wird gut - Album Version,Music/MusicLoad/Bushido--Alles_wird_gut_-_Album_Version.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/22/c/2/vkduw_fasijf3foy2kqxflwsonalxxbu/alles-wird-gut-bushido.jpg,5
674,\N,Ke$ha,TiK ToK,Music/MusicLoad/Ke_ha--TiK_ToK.mp3,\N,http://c-static.musicload-shop.de/cov/m/75/77/cover/09/58/000000000009586a/00000000000021604796-300x300_72dpi_RGB_96827d4e4f397e71ca1ad18cd3c2e78a/tik-tok-ke-ha.jpg,4
745,\N,Frauenarzt and Manny Marc,Das Geht Ab (Wir Feiern Die Ganze Nacht),Music/MusicLoad/Frauenarzt__amp__Manny_Marc--Das_Geht_Ab__Wir_Feiern_Die_Ganze_Nacht___Atz_hellip_.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/89/c/e/vdnmn_5vxrgs2uuqrwwqueq356e3hsnq/the-vancouver-snow-parade-various-artists.jpg,4
675,\N,Keri Hilson,I Like - Jost and Grubert,Music/MusicLoad/Keri_Hilson--I_Like_-_Jost__amp__Grubert_Radio_Mix.mp3,\N,http://d-static.musicload-shop.de/cov/m/75/78/cover/09/7e/0000000000097ed9/UMG_cvrart_00602527280165_01_RGB300_1200x1200_2644931_212780f846aebdf19f27903894bf8c5b/i-like-keri-hilson.jpg,8
676,\N,STROMAE,Alors On Danse,Music/MusicLoad/STROMAE--Alors_On_Danse.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/86/c/8/uud5r_qdz2c42z6jyruuyaz5ompn2nwq/alors-on-danse-stromae.jpg,8
677,\N,Owl City,Fireflies - Album Version,Music/MusicLoad/Owl_City--Fireflies_-_Album_Version.mp3,\N,http://c-static.musicload-shop.de/cov/m/75/88/c/4/vc33a_iodl65tmtlc7y32kd4h2od5lde/fireflies-owl-city.jpg,8
678,\N,Cheryl Cole,Fight For This Love,Music/MusicLoad/Cheryl_Cole--Fight_For_This_Love.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/5/c/7/vpzdi_pe6mryrmzgbxlnujkxeikcozu4/fight-for-this-love-cheryl-cole.jpg,8
680,\N,Lady GaGa,Bad Romance,Music/MusicLoad/Lady_GaGa--Bad_Romance.mp3,\N,http://a-static.musicload-shop.de/cov/m/75/75/cover/09/2c/0000000000092cc1/UMG_cvrart_00602527263434_01_RGB300_1200x1200_2612284_47645525f35cc83d7c29ee2b54e1bb54/bad-romance-lady-gaga.jpg,8
